sample_index,sim_time_s,mobile_x,mobile_y,mobile_state,mobile_rloc16,parent_extaddr,parent_rloc16,parent_node_guess,parent_link_quality_in,parent_link_quality_out,parent_age,parent_version,parent_switch,connectivity_ok,selected_radio_model,device_profile,thread_device_type,parent_search_config,packet_probe_reliable,primary_parent_observation,router_a_scan_dbm,router_a_scan_lqi,router_b_scan_dbm,router_b_scan_lqi,ip_counters_json,mle_counters_json,router_a_to_mobile_tx,router_a_to_mobile_rx,router_a_to_mobile_loss_pct,router_a_to_mobile_rtt_min_ms,router_a_to_mobile_rtt_avg_ms,router_a_to_mobile_rtt_max_ms,router_b_to_mobile_tx,router_b_to_mobile_rx,router_b_to_mobile_loss_pct,router_b_to_mobile_rtt_min_ms,router_b_to_mobile_rtt_avg_ms,router_b_to_mobile_rtt_max_ms
0,630.0,100.0,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,109,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""13"", ""TxFailed"": ""0"", ""TxSuccess"": ""28""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""620929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""630000""}",1,0,100.0,,,,1,0,100.0,,,
1,660.0,125.143,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,139,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""13"", ""TxFailed"": ""0"", ""TxSuccess"": ""28""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""650929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""660000""}",1,0,100.0,,,,1,0,100.0,,,
2,690.0,150.286,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,169,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""13"", ""TxFailed"": ""0"", ""TxSuccess"": ""28""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""680929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""690000""}",1,0,100.0,,,,1,0,100.0,,,
3,720.0,175.429,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,199,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""13"", ""TxFailed"": ""0"", ""TxSuccess"": ""28""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""710929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""720000""}",1,0,100.0,,,,1,0,100.0,,,
4,750.0,200.571,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,229,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""13"", ""TxFailed"": ""0"", ""TxSuccess"": ""28""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""740929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""750000""}",1,0,100.0,,,,1,0,100.0,,,
5,780.0,225.714,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,3,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""20"", ""TxFailed"": ""0"", ""TxSuccess"": ""35""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""770929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""780000""}",1,0,100.0,,,,1,0,100.0,,,
6,810.0,250.857,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,33,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""20"", ""TxFailed"": ""0"", ""TxSuccess"": ""35""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""800929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""810000""}",1,0,100.0,,,,1,0,100.0,,,
7,840.0,276.0,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,63,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""20"", ""TxFailed"": ""0"", ""TxSuccess"": ""35""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""830929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""840000""}",1,0,100.0,,,,1,0,100.0,,,
8,870.0,301.143,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,93,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""20"", ""TxFailed"": ""0"", ""TxSuccess"": ""35""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""860929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""870000""}",1,0,100.0,,,,1,0,100.0,,,
9,900.0,326.286,300.0,child,c001,fa2ba0563af59468,c000,router_a,3,3,123,5,False,True,MutualInterference,sleepy_end_device,sed,enabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""20"", ""TxFailed"": ""0"", ""TxSuccess"": ""35""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""890929"", ""Time Detached Milli"": ""9071"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""900000""}",1,0,100.0,,,,1,0,100.0,,,
