platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,stock,2,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock,2,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock,2,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock,2,parent_response_to_ack_ms,100,4.00742543,0.00050439042627827,4.007101,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.0074170375
otns,stock,2,parent_response_ack_to_child_id_request_ms,100,500.72424,138.06415058658183,506.452,231.74,288.04,381.68600000000004,613.426,701.146,250.56,737.808,502.2545
hardware,stock,2,parent_response_ack_to_child_id_request_ms,100,489.40994498,148.86650355143263,502.10404400000004,268.42296124999996,260.8944889,358.26408875000004,626.68705,702.46005025,240.187168,735.085964,490.895295125
otns,stock,2,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock,2,child_id_request_to_ack_ms,100,3.84764437,0.000604951348824256,3.847837,0.0011919999999996378,3.846884,3.846884,3.848076,3.8481117499999997,3.846884,3.84903,3.847628825
otns,stock,2,child_id_request_ack_to_child_id_response_ms,100,1.9472,1.5455594783152478,1.576,0.6399999999999999,0.616,1.256,1.896,4.791999999999999,0.616,9.256,1.62
hardware,stock,2,child_id_request_ack_to_child_id_response_ms,100,9.99702695,0.9678315648229103,10.079979999999999,1.4019612500000012,8.63786975,9.2627405,10.66470175,11.122977599999999,8.183956,14.098883,9.9714041125
otns,stock,3,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock,3,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock,3,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
