platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,stock,2,parent_request_to_response_ms,100,245.27319,137.87546724693084,238.92000000000002,230.828,43.275999999999996,133.49800000000002,364.326,458.00559999999996,9.656,494.824,243.7134875
hardware,stock,2,parent_request_to_response_ms,97,258.3495144948454,147.20136638671687,242.698908,265.876055,47.9496476,123.405933,389.281988,488.92025939999985,14.908075,507.816076,256.5805248101266
otns,stock,2,parent_response_to_child_id_request_ms,100,504.72424,138.06415058658183,510.452,231.74,292.04,385.68600000000004,617.426,705.146,254.56,741.808,506.2545
hardware,stock,2,parent_response_to_child_id_request_ms,97,493.5891456082474,147.2318605302595,508.312941,266.65091600000005,264.27631379999997,362.725019,629.375935,703.0914308,244.194031,739.093781,495.3459848101266
otns,stock,2,child_id_request_to_response_ms,100,5.7872,1.5455594783152478,5.416,0.6399999999999997,4.456,5.096,5.736,8.631999999999998,4.456,13.096,5.46
hardware,stock,2,child_id_request_to_response_ms,97,13.86318498969072,0.9703382256976332,13.975859,1.412153,12.494421,13.110876,14.523029,14.994526199999997,12.03084,17.946959,13.83628117721519
otns,stock,2,full_attach_ms,100,755.78463,1.9080675329248717,755.46,2.13799999999992,753.4736,754.47,756.608,759.496,752.96,763.712,755.529
hardware,stock,2,full_attach_ms,97,765.8018451752578,1.500897712478997,765.718222,2.2180079999999407,763.7042046,764.656067,766.874075,768.5984612,761.556864,769.952059,765.7502874810126
otns,stock,2,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock,2,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock,2,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock,2,parent_response_to_ack_ms,97,4.00741824742268,0.0005007547643084686,4.007101,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.007408962025316
