platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,stock,2,parent_request_to_response_ms,100,245.27319,137.87546724693084,238.92000000000002,230.828,43.275999999999996,133.49800000000002,364.326,458.00559999999996,9.656,494.824,243.7134875
hardware,stock,2,parent_request_to_response_ms,100,258.53255034,148.82324152198305,245.3974485,267.78131725000003,44.8388334,122.143924,389.92524125,487.3359321,14.015198,507.816076,257.046768075
otns,stock,2,parent_response_to_child_id_request_ms,100,504.72424,138.06415058658183,510.452,231.74,292.04,385.68600000000004,617.426,705.146,254.56,741.808,506.2545
hardware,stock,2,parent_response_to_child_id_request_ms,100,493.4173703,148.8665551043224,506.11150299999997,268.422962,264.902532,362.2710105,630.6939725,706.4680456499999,244.194031,739.093781,494.9027091
otns,stock,2,child_id_request_to_response_ms,100,5.7872,1.5455594783152478,5.416,0.6399999999999997,4.456,5.096,5.736,8.631999999999998,4.456,13.096,5.46
hardware,stock,2,child_id_request_to_response_ms,100,13.84467122,0.967805139206742,13.928533000000002,1.401841749999999,12.4858971,13.10992225,14.511764,14.97081555,12.03084,17.946959,13.8190299
otns,stock,2,full_attach_ms,100,755.78463,1.9080675329248717,755.46,2.13799999999992,753.4736,754.47,756.608,759.496,752.96,763.712,755.529
hardware,stock,2,full_attach_ms,100,765.79459194,1.4844813391058538,765.7186985,2.215206500000022,763.72054815,764.64831825,766.86352475,768.5479283,761.556864,769.952059,765.7458901625
otns,stock,2,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock,2,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock,2,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock,2,parent_response_to_ack_ms,100,4.00742543,0.00050439042627827,4.007101,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.0074170375
otns,stock,2,parent_response_ack_to_child_id_request_ms,100,500.72424,138.06415058658183,506.452,231.74,288.04,381.68600000000004,613.426,701.146,250.56,737.808,502.2545
hardware,stock,2,parent_response_ack_to_child_id_request_ms,100,489.40994498,148.86650355143263,502.10404400000004,268.42296124999996,260.8944889,358.26408875000004,626.68705,702.46005025,240.187168,735.085964,490.895295125
otns,stock,2,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock,2,child_id_request_to_ack_ms,100,3.84764437,0.000604951348824256,3.847837,0.0011919999999996378,3.846884,3.846884,3.848076,3.8481117499999997,3.846884,3.84903,3.847628825
otns,stock,2,child_id_request_ack_to_child_id_response_ms,100,1.9472,1.5455594783152478,1.576,0.6399999999999999,0.616,1.256,1.896,4.791999999999999,0.616,9.256,1.62
hardware,stock,2,child_id_request_ack_to_child_id_response_ms,100,9.99702695,0.9678315648229103,10.079979999999999,1.4019612500000012,8.63786975,9.2627405,10.66470175,11.122977599999999,8.183956,14.098883,9.9714041125
otns,stock,2,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock,2,adjusted_parent_request_to_response_ms,100,9.89255034,1.002118762793549,10.058933,1.7585610000000003,8.208054599999999,8.924188000000001,10.682749000000001,11.28443865,7.645933,11.429169,9.9355994375
otns,stock,3,parent_request_to_response_ms,100,231.73695,141.10127332997712,227.61599999999999,243.23600000000005,30.480000000000004,104.496,347.732,448.33199999999994,8.656,487.856,229.146
hardware,stock,3,parent_request_to_response_ms,100,170.32947304,106.93193940571054,157.203436,155.76606974999999,27.62488155,83.46647025,239.23254,337.8113387,10.926962,495.048046,162.6243114625
otns,stock,3,parent_response_to_child_id_request_ms,100,518.19904,140.9911436220622,523.2239999999999,241.798,301.186,402.36,644.158,718.3908,261.808,742.488,520.815825
hardware,stock,3,parent_response_to_child_id_request_ms,100,581.15554091,106.9386818726751,594.8884485,157.34154050000006,415.13490715,511.27171475,668.6132552500001,721.9067451,257.959127,740.999937,588.7776314875
