platform,variant,routers,metric,value_ms,outer_fence_low_ms,outer_fence_high_ms,source_run,retransmission_observed,duplicate_sequence_observed,classification,disposition
otns,stock,2,child_id_request_to_response_ms,7.656,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_001/baseline_summary_20260919T095616Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,11.176,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_005/baseline_summary_20260919T095616Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,8.296,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_013/baseline_summary_20260919T095621Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,13.096,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_019/baseline_summary_20260919T095624Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,8.936,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_023/baseline_summary_20260919T095625Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,11.176,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_045/baseline_summary_20260919T095636Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,8.616,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_065/baseline_summary_20260919T095647Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,8.296,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_076/baseline_summary_20260919T095653Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,12.136,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_079/baseline_summary_20260919T095653Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,stock,2,child_id_request_to_response_ms,7.976,3.176000000000001,7.655999999999999,results/smoke/stock-2routers-pcap-validation-20260919/run_083/baseline_summary_20260919T095657Z.json,False,False,valid_complete_sequence_long_tail,retained
