routers,interval,source,n,mean_ms,sample_sd_ms,delta_ms,delta_percent
2,parent_request_to_response,otns_pcap,100,19.25376,8.682212,-7.21624,-27.261957
2,parent_request_to_response,hardware_pcap,100,26.47,9.41,,
2,parent_response_to_child_id_request,otns_pcap,100,5.6656,0.922169,-5.2144,-47.926471
2,parent_response_to_child_id_request,hardware_pcap,100,10.88,0.82,,
2,child_id_request_to_response,otns_pcap,100,5.672,1.146131,-8.128,-58.898551
2,child_id_request_to_response,hardware_pcap,100,13.8,0.93,,
2,parent_request_to_child_id_response,otns_pcap,100,30.59136,8.79238,-20.54864,-40.18115
2,parent_request_to_child_id_response,hardware_pcap,100,51.14,9.43,,
3,parent_request_to_response,otns_pcap,100,35.78208,20.39455,-0.55792,-1.535278
3,parent_request_to_response,hardware_pcap,100,36.34,20.51,,
3,parent_response_to_child_id_request,otns_pcap,100,6.37168,2.842377,-5.46832,-46.185135
3,parent_response_to_child_id_request,hardware_pcap,100,11.84,2.45,,
3,child_id_request_to_response,otns_pcap,100,6.1936,2.42993,-8.2264,-57.048544
3,child_id_request_to_response,hardware_pcap,100,14.42,2.76,,
3,parent_request_to_child_id_response,otns_pcap,100,48.34736,20.768779,-14.25264,-22.767796
3,parent_request_to_child_id_response,hardware_pcap,100,62.6,21.22,,
4,parent_request_to_response,otns_pcap,100,28.98904,22.795267,-10.66096,-26.887667
4,parent_request_to_response,hardware_pcap,100,39.65,22.95,,
4,parent_response_to_child_id_request,otns_pcap,100,5.95936,1.556855,-6.43064,-51.901856
4,parent_response_to_child_id_request,hardware_pcap,100,12.39,4.24,,
4,child_id_request_to_response,otns_pcap,100,6.15808,2.580539,-8.89192,-59.082525
4,child_id_request_to_response,hardware_pcap,100,15.05,3.2,,
4,parent_request_to_child_id_response,otns_pcap,100,41.10648,23.264604,-26.00352,-38.747608
4,parent_request_to_child_id_response,hardware_pcap,100,67.11,24.76,,
