routers,sample_index,source_summary,pcap_file,pcap_sha256,pcap_parent_request_to_response_ms,event_parent_request_to_response_ms,pcap_parent_response_to_child_id_request_ms,event_parent_response_to_child_id_request_ms,pcap_child_id_request_to_response_ms,event_child_id_request_to_response_ms,pcap_parent_request_to_child_id_response_ms,event_parent_request_to_child_id_response_ms,child_id_request_frame,child_id_request_timestamp_s,child_id_response_frame,child_id_response_timestamp_s,parent_request_frame,parent_request_timestamp_s,parent_response_frame,parent_response_timestamp_s
2,1,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_001/baseline_summary_20260919T095750Z.json,pcaps/2_routers/run_001.pcap,74e6322e19e0d46206692854938f20bbfb8fa6646b167713b33c2887498719fe,304.056,,445.648,,5.416,,755.12,,220,421.398168,222,421.403584,217,420.648464,218,420.95252
2,2,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_002/baseline_summary_20260919T095750Z.json,pcaps/2_routers/run_002.pcap,076e26f99a6ff718463c54d2e6775a6b2fd8f81d43c26c019c737a93fd1232ce,493.384,,256.24,,4.776,,754.4,,212,421.475408,214,421.480184,209,420.725784,210,421.219168
2,3,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_003/baseline_summary_20260919T095750Z.json,pcaps/2_routers/run_003.pcap,15e9aa375d34bcb82aa09fe371727b9fa6c3014f37793997cfb00f9fb39b5322,380.736,,369.048,,5.416,,755.2,,209,421.337088,211,421.342504,206,420.587304,207,420.96804
2,4,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_004/baseline_summary_20260919T095750Z.json,pcaps/2_routers/run_004.pcap,9caf651c808b165bd4392b67142a7568e958dc8ce2a64046a5d27a92b6c73ad2,323.736,,427.048,,5.096,,755.88,,220,421.251088,222,421.256184,217,420.500304,218,420.82404
2,5,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_005/baseline_summary_20260919T095750Z.json,pcaps/2_routers/run_005.pcap,5cc5a792efcd7d737bb4cae61eb4ac0e89d7a3b8d5792fd4b1d61912a052bf67,431.664,,319.84,,6.696,,758.2,,222,420.713288,224,420.719984,219,419.961784,220,420.393448
2,6,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_006/baseline_summary_20260919T095750Z.json,pcaps/2_routers/run_006.pcap,d556576eab7f6fd2b0f638c06b2faaa941341649f6aec34731da96409429a851,474.024,,275.2,,5.736,,754.96,,218,421.565368,220,421.571104,215,420.816144,216,421.290168
2,7,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_007/baseline_summary_20260919T095750Z.json,pcaps/2_routers/run_007.pcap,607e82659b0bd5b881fd740f8d2ece0bd234086d4c2f7879d501bfc343972d7d,20.376,,727.48,,4.456,,752.312,,220,421.325168,222,421.329624,217,420.577312,218,420.597688
2,8,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_008/baseline_summary_20260919T095750Z.json,pcaps/2_routers/run_008.pcap,66b49c465ce0e9acbe09fbe1c342f7954bec5afe2b9e2146ad55d4bfe03dd3d6,328.416,,422.224,,4.456,,755.096,,227,421.309408,229,421.313864,224,420.558768,225,420.887184
2,9,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_009/baseline_summary_20260919T095754Z.json,pcaps/2_routers/run_009.pcap,7ace7fd5f8533ba73af972e1215de2be5982b10ffd199516288951f7f315fb74,61.696,,687.448,,5.096,,754.24,,224,421.448168,226,421.453264,221,420.699024,222,420.76072
2,10,results/smoke/fast-attach-2routers-pcap-validation-20260919/run_010/baseline_summary_20260919T095754Z.json,pcaps/2_routers/run_010.pcap,43e84a8c7c7c509d40370cdc63c625ef9be02eb2af6d9e318e685915164fe801,500.119,,249.84,,6.056,,756.015,,220,421.494328,222,421.500384,217,420.744369,218,421.244488
