routers,sample_index,source_summary,pcap_file,pcap_sha256,pcap_parent_request_to_response_ms,event_parent_request_to_response_ms,pcap_parent_response_to_child_id_request_ms,event_parent_response_to_child_id_request_ms,pcap_child_id_request_to_response_ms,event_child_id_request_to_response_ms,pcap_parent_request_to_child_id_response_ms,event_parent_request_to_child_id_response_ms,child_id_request_frame,child_id_request_timestamp_s,child_id_response_frame,child_id_response_timestamp_s,parent_request_frame,parent_request_timestamp_s,parent_response_frame,parent_response_timestamp_s
2,1,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_001/baseline_summary_20260919T090249Z.json,pcaps/2_routers/run_001.pcap,56c45d010aa143d54d26b11df34541e707029abf43c0d56c8128bf710e2240fc,4.36,14.024,6.216,0.0,5.096,10.448,15.672,24.472,86,185.01792,88,185.023016,82,185.007344,84,185.011704
2,2,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_002/baseline_summary_20260919T090249Z.json,pcaps/2_routers/run_002.pcap,a426d26ab0565587b00a109d7275510aacf2b479493c5d74c26992c15dba42e3,3.16,12.504,5.256,0.0,5.736,10.128,14.152,22.632,81,185.01544,83,185.021176,77,185.007024,79,185.010184
2,3,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_003/baseline_summary_20260919T090249Z.json,pcaps/2_routers/run_003.pcap,8ecbee7187a25ee8a71f48d7d3b9dd456213ce64df13fa92e432bf46454f644d,4.04,16.112,5.896,0.0,6.056,11.088,15.992,27.2,80,185.0192,82,185.025256,76,185.009264,78,185.013304
2,4,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_004/baseline_summary_20260919T090249Z.json,pcaps/2_routers/run_004.pcap,4115034dbd83964ffc9e7d4dee7f9f68aff6cc48d8d3f46108970df7d145397c,4.04,14.024,4.936,0.0,4.456,8.528,13.432,22.552,79,185.01632,81,185.020776,75,185.007344,77,185.011384
2,5,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_005/baseline_summary_20260919T090249Z.json,pcaps/2_routers/run_005.pcap,0577caf421e4fb489aefb98ffd3198bc611ab2fa026de4d29361bc50e7379263,4.328,15.76,5.896,0.0,5.736,10.768,15.96,26.528,77,185.018848,79,185.024584,73,185.008624,75,185.012952
2,6,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_006/baseline_summary_20260919T090249Z.json,pcaps/2_routers/run_006.pcap,4b0ee095a2ca331680e8d1be006ff9fce28addb7e115cbea411adfe46a36774b,4.36,17.392,5.896,0.0,6.056,11.088,16.312,28.48,84,185.02048,86,185.026536,80,185.010224,82,185.014584
2,7,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_007/baseline_summary_20260919T090249Z.json,pcaps/2_routers/run_007.pcap,77beca89e28400ebfe9666cb4f163d563dcf04fbde6148d8178f899b6deb4a7e,4.36,15.472,4.936,0.0,4.776,8.848,14.072,24.32,81,185.0176,83,185.022376,77,185.008304,79,185.012664
2,8,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_008/baseline_summary_20260919T090249Z.json,pcaps/2_routers/run_008.pcap,7142232321f22a286d8afd18148b2c2d2ab6ec67c97fa53d931a5929fcd6fdf5,3.4,15.472,11.016,0.0,4.776,14.928,19.192,30.4,86,185.02368,88,185.028456,82,185.009264,84,185.012664
2,9,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_009/baseline_summary_20260919T090252Z.json,pcaps/2_routers/run_009.pcap,0cf1a3e0c864ffa7dac1ccc6d423502f87593f9b23b7dec7ae20545e09ca1531,4.8,23.272,5.256,0.0,4.776,9.168,14.832,32.44,88,185.02572,90,185.030496,84,185.015664,86,185.020464
2,10,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_010/baseline_summary_20260919T090252Z.json,pcaps/2_routers/run_010.pcap,88f05237a2a16b8fc6d20aedac8fc567b47b1f155844d00e35d1efe795f0c64e,5.44,15.104,4.936,0.0,5.096,9.168,15.472,24.272,82,185.01804,84,185.023136,78,185.007664,80,185.013104
2,11,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_011/baseline_summary_20260919T090252Z.json,pcaps/2_routers/run_011.pcap,6ad7ae4d1e31dc6423482eb8d97552cbd83689f0150644b275be4005c175a7f7,6.4,19.112,5.896,0.0,6.056,11.088,18.352,30.2,80,185.0222,82,185.028256,76,185.009904,78,185.016304
2,12,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_012/baseline_summary_20260919T090252Z.json,pcaps/2_routers/run_012.pcap,8585b0928d1e229900bf8a31fba08150b28142ff4f18af5237ed6adc14052bd6,11.72,17.864,6.536,0.0,4.456,10.128,22.712,27.992,84,185.0224,86,185.026856,78,185.004144,82,185.015864
2,13,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_013/baseline_summary_20260919T090252Z.json,pcaps/2_routers/run_013.pcap,3610e460ee5aa02372e8b4959c1770c042bc2fae87eb2db561fdcbdf59b8dc08,4.648,16.952,6.216,0.0,5.736,11.088,16.6,28.04,81,185.020448,83,185.026184,77,185.009584,79,185.014232
2,14,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_014/baseline_summary_20260919T090252Z.json,pcaps/2_routers/run_014.pcap,5284e484b57941f80f51f5df80641ed1a4b81758c1b7fdbfaa4b8cd5823702e4,4.16,11.664,4.616,0.0,6.056,9.808,14.832,21.472,85,185.01356,87,185.019616,81,185.004784,83,185.008944
2,15,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_015/baseline_summary_20260919T090252Z.json,pcaps/2_routers/run_015.pcap,429305b546aafc366a733f3531e2398d72ae2e489ab9f3c35d778f70029907ea,4.16,13.824,4.936,0.0,6.056,10.128,15.152,23.952,83,185.01676,85,185.022816,79,185.007664,81,185.011824
2,16,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_016/baseline_summary_20260919T090252Z.json,pcaps/2_routers/run_016.pcap,1799d54f2bad12800a2f136ecfbb3e39fdd7f57adc90dbca716f4720590e2938,6.4,16.384,7.176,0.0,4.776,11.088,18.352,27.472,83,185.02124,85,185.026016,79,185.007664,81,185.014064
2,17,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_017/baseline_summary_20260919T090254Z.json,pcaps/2_routers/run_017.pcap,186feae834ebf949fcc95f90c2b8252dcd5f2f170ad0bc716b1297d3e91986de,3.48,13.144,7.176,0.0,4.456,10.768,15.112,23.912,83,185.01768,85,185.022136,79,185.007024,81,185.010504
2,18,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_018/baseline_summary_20260919T090254Z.json,pcaps/2_routers/run_018.pcap,03ed4b2ed8355224f4c8ead404813821b2e89de78bbd1b493f4fe209f4bcef27,6.4,13.184,6.216,0.0,8.616,13.968,21.232,27.152,77,185.0174,79,185.026016,73,185.004784,75,185.011184
2,19,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_019/baseline_summary_20260919T090254Z.json,pcaps/2_routers/run_019.pcap,76860afec74e457c2135c33be24656ca77f2411fe0795decfbaa4bef6b7a8c86,8.32,16.872,4.936,0.0,5.416,9.488,18.672,26.36,78,185.019,80,185.024416,72,185.005744,76,185.014064
2,20,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_020/baseline_summary_20260919T090254Z.json,pcaps/2_routers/run_020.pcap,b59355cae48e017efe804e49705eb5c1627c017a79e76cd6ba4c5d69a8e1aaf9,5.0,15.304,4.936,0.0,6.056,10.128,15.992,25.432,83,185.01824,85,185.024296,79,185.008304,81,185.013304
2,21,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_021/baseline_summary_20260919T090254Z.json,pcaps/2_routers/run_021.pcap,01b59e3ae1bc93a4e03b0954aef6c2e4ba0e6e088bbece787c22a1038d0bd1c2,7.88,14.024,5.256,0.0,8.296,12.688,21.432,26.712,75,185.01728,77,185.025576,69,185.004144,73,185.012024
2,22,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_022/baseline_summary_20260919T090254Z.json,pcaps/2_routers/run_022.pcap,67d69c5d92a9e989c665582bb594d83f1ceea347d8ac78bd13a8ca856f90a562,4.8,22.312,5.256,0.0,5.736,10.128,15.792,32.44,83,185.02476,85,185.030496,79,185.014704,81,185.019504
2,23,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_023/baseline_summary_20260919T090254Z.json,pcaps/2_routers/run_023.pcap,253b1f9f03ea9c0e6a2aac64aff10882c1a40a1b9aff5a212ff2576ccf09a57d,13.504,22.056,5.896,0.0,6.056,11.088,25.456,33.144,85,185.025144,87,185.0312,79,185.005744,83,185.019248
2,24,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_024/baseline_summary_20260919T090254Z.json,pcaps/2_routers/run_024.pcap,533aee4cf7f12ae7b814ab330c5197aecb62dcaaff68ea3aa6a9730b4a4165b6,4.36,17.392,5.256,0.0,5.416,9.808,15.032,27.2,92,185.01984,94,185.025256,88,185.010224,90,185.014584
2,25,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_025/baseline_summary_20260919T090257Z.json,pcaps/2_routers/run_025.pcap,8a24f36f7d30b9a8b0b08214095c8722c316cbfaafdd3386894280814b7fb76e,3.4,11.544,4.616,0.0,14.824,18.576,22.84,30.12,75,185.01344,79,185.028264,71,185.005424,73,185.008824
2,26,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_026/baseline_summary_20260919T090257Z.json,pcaps/2_routers/run_026.pcap,f90d684ce474b4d902fe12005b3756e7e6321b2e1a538b64f7c3f4bef8706b8a,10.184,16.648,4.616,0.0,5.736,9.488,20.536,26.136,81,185.018624,83,185.02436,75,185.003824,79,185.014008
2,27,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_027/baseline_summary_20260919T090257Z.json,pcaps/2_routers/run_027.pcap,af3aa7ece7786f957535398529fdb4cfae88fbec2c31bc10051a8815b4d0578d,3.16,9.304,5.576,0.0,4.456,13.632,13.192,22.936,87,185.01288,90,185.017336,83,185.004144,85,185.007304
2,28,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_028/baseline_summary_20260919T090257Z.json,pcaps/2_routers/run_028.pcap,e535254c516c2a8ef0306d7fbb490f9cee208945f3627aa29435148e20f7959e,9.92,18.472,4.936,0.0,8.616,12.688,23.472,31.16,84,185.0206,86,185.029216,78,185.005744,82,185.015664
2,29,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_029/baseline_summary_20260919T090257Z.json,pcaps/2_routers/run_029.pcap,2049350a6d6b21a49161bae347b3d0edb1d2c001726f237173e0fd818660dfa5,5.44,18.152,4.936,0.0,4.456,8.528,14.832,26.68,75,185.02028,77,185.024736,71,185.009904,73,185.015344
2,30,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_030/baseline_summary_20260919T090257Z.json,pcaps/2_routers/run_030.pcap,5e3adbcc14fa6bd0a0a6f66e23db841cc4f77b9fa26c0b4f6d745d407913f706,5.44,23.912,5.576,0.0,4.456,9.168,15.472,33.08,90,185.02668,92,185.031136,86,185.015664,88,185.021104
2,31,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_031/baseline_summary_20260919T090257Z.json,pcaps/2_routers/run_031.pcap,377c07249bca37d4363805461f0c4e0c8ccdd834982e0353fbfcbc3e224ff3f0,5.32,20.272,5.576,0.0,6.056,10.768,16.952,31.04,84,185.02304,86,185.029096,80,185.012144,82,185.017464
2,32,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_032/baseline_summary_20260919T090257Z.json,pcaps/2_routers/run_032.pcap,29117fd691f82b3db4c59b4631810a3b086bce35cd620add6aa2ab6b6d6aae3e,4.48,18.944,5.576,0.0,6.376,11.088,16.432,30.032,75,185.02188,77,185.028256,71,185.011824,73,185.016304
2,33,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_033/baseline_summary_20260919T090259Z.json,pcaps/2_routers/run_033.pcap,aabb0b5890286e57121d9bd2b9a1a9c93d41058c84493408963f0a9d3dc9e9cd,16.32,24.872,5.256,0.0,4.456,8.848,26.032,33.72,83,185.02732,85,185.031776,77,185.005744,81,185.022064
2,34,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_034/baseline_summary_20260919T090259Z.json,pcaps/2_routers/run_034.pcap,18ebe7f6fe582253420cbe41f4a245404891412806ec4bae50079721ef4ff930,3.16,12.504,4.936,0.0,5.416,9.488,13.512,21.992,83,185.01544,85,185.020856,79,185.007344,81,185.010504
2,35,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_035/baseline_summary_20260919T090259Z.json,pcaps/2_routers/run_035.pcap,e25bd636f569ea2cc513b58d1e0c28c77acddffaeb06addba22df1164ff177c7,3.72,14.984,4.936,0.0,5.416,9.488,14.072,24.472,80,185.01792,82,185.023336,76,185.009264,78,185.012984
2,36,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_036/baseline_summary_20260919T090259Z.json,pcaps/2_routers/run_036.pcap,6d6b6487ae46e79c3b1cdd23d4cc9ed148197d435926779b3d9d72201b469ebf,4.48,14.952,6.216,0.0,5.416,10.768,16.112,25.72,83,185.01836,85,185.023776,79,185.007664,81,185.012144
