routers,interval,simulation_source,simulation_n,simulation_mean_ms,simulation_sd_ms,hardware_source,hardware_n,hardware_mean_ms,hardware_sd_ms,delta_ms,delta_percent
2,parent_request_to_parent_response,otns_pcap,100,5.244,2.532,hardware_pcap,100,11.45,1.27,-6.206,-54.2
2,parent_response_to_child_id_request,otns_pcap,100,6.232,2.320,hardware_pcap,100,10.61,0.81,-4.378,-41.3
2,child_id_request_to_child_id_response,otns_pcap,100,5.843,1.657,hardware_pcap,100,13.84,0.81,-7.997,-57.8
2,full_attach,otns_pcap,100,17.318,3.500,hardware_pcap,100,35.89,1.86,-18.572,-51.7
3,parent_request_to_parent_response,otns_pcap,100,5.275,2.234,hardware_pcap,100,11.24,0.94,-5.965,-53.1
3,parent_response_to_child_id_request,otns_pcap,100,5.911,1.599,hardware_pcap,100,10.73,0.83,-4.819,-44.9
3,child_id_request_to_child_id_response,otns_pcap,100,5.957,2.180,hardware_pcap,100,13.81,0.84,-7.853,-56.9
3,full_attach,otns_pcap,100,17.143,3.513,hardware_pcap,100,35.78,1.57,-18.637,-52.1
4,parent_request_to_parent_response,otns_pcap,100,5.469,2.247,hardware_pcap,100,11.58,0.98,-6.111,-52.8
4,parent_response_to_child_id_request,otns_pcap,100,7.673,13.058,hardware_pcap,100,10.61,0.95,-2.937,-27.7
4,child_id_request_to_child_id_response,otns_pcap,100,6.172,2.159,hardware_pcap,100,13.73,0.83,-7.558,-55.0
4,full_attach,otns_pcap,100,19.314,13.844,hardware_pcap,100,35.91,1.62,-16.596,-46.2
