routers,interval,source,n,mean_ms,sample_sd_ms,delta_ms,delta_percent
2,parent_request_to_response,otns_pcap,100,257.85238,150.906904,20.62238,8.69299
2,parent_request_to_response,hardware_pcap,100,237.23,140.32,,
2,parent_response_to_child_id_request,otns_pcap,100,492.24848,150.813999,-22.31152,-4.336039
2,parent_response_to_child_id_request,hardware_pcap,100,514.56,140.31,,
2,child_id_request_to_response,otns_pcap,100,5.5824,0.954576,-8.2676,-59.693863
2,child_id_request_to_response,hardware_pcap,100,13.85,0.99,,
2,parent_request_to_child_id_response,otns_pcap,100,755.68326,1.585285,-9.95674,-1.300447
2,parent_request_to_child_id_response,hardware_pcap,100,765.64,1.69,,
3,parent_request_to_response,otns_pcap,100,266.01634,149.997063,8.87634,3.451948
3,parent_request_to_response,hardware_pcap,100,257.14,146.58,,
3,parent_response_to_child_id_request,otns_pcap,100,483.99492,150.00458,-10.27508,-2.07884
3,parent_response_to_child_id_request,hardware_pcap,100,494.27,146.62,,
3,child_id_request_to_response,otns_pcap,100,5.6624,0.934177,-8.2576,-59.321839
3,child_id_request_to_response,hardware_pcap,100,13.92,0.93,,
3,parent_request_to_child_id_response,otns_pcap,100,755.67366,1.515959,-9.65634,-1.261722
3,parent_request_to_child_id_response,hardware_pcap,100,765.33,1.59,,
4,parent_request_to_response,otns_pcap,100,245.43424,153.054903,-34.77576,-12.410606
4,parent_request_to_response,hardware_pcap,100,280.21,133.25,,
4,parent_response_to_child_id_request,otns_pcap,100,504.41525,153.046363,33.06525,7.01501
4,parent_response_to_child_id_request,hardware_pcap,100,471.35,133.72,,
4,child_id_request_to_response,otns_pcap,100,5.8672,1.34701,-8.1228,-58.061472
4,child_id_request_to_response,hardware_pcap,100,13.99,1.0,,
4,parent_request_to_child_id_response,otns_pcap,100,755.71669,1.735068,-9.82331,-1.283187
4,parent_request_to_child_id_response,hardware_pcap,100,765.54,1.84,,
