routers,interval,source,n,mean_ms,sample_sd_ms,delta_ms,delta_percent
2,parent_request_to_response,otns_pcap,100,245.27319,137.875467,-13.25681,-5.127765
2,parent_request_to_response,hardware_pcap,100,258.53,148.82,,
2,parent_response_to_child_id_request,otns_pcap,100,504.72424,138.064151,11.30424,2.290998
2,parent_response_to_child_id_request,hardware_pcap,100,493.42,148.87,,
2,child_id_request_to_response,otns_pcap,100,5.7872,1.545559,-8.0528,-58.184971
2,child_id_request_to_response,hardware_pcap,100,13.84,0.97,,
2,parent_request_to_child_id_response,otns_pcap,100,755.78463,1.908068,-10.00537,-1.306542
2,parent_request_to_child_id_response,hardware_pcap,100,765.79,1.48,,
3,parent_request_to_response,otns_pcap,100,231.73695,141.101273,61.40695,36.051752
3,parent_request_to_response,hardware_pcap,100,170.33,106.93,,
3,parent_response_to_child_id_request,otns_pcap,100,518.19904,140.991144,-62.96096,-10.833671
3,parent_response_to_child_id_request,hardware_pcap,100,581.16,106.94,,
3,child_id_request_to_response,otns_pcap,100,5.672,1.431806,-8.308,-59.427754
3,child_id_request_to_response,hardware_pcap,100,13.98,0.97,,
3,parent_request_to_child_id_response,otns_pcap,100,755.60799,1.818877,-9.85201,-1.287071
3,parent_request_to_child_id_response,hardware_pcap,100,765.46,2.02,,
4,parent_request_to_response,otns_pcap,100,223.56545,145.76195,27.75545,14.174685
4,parent_request_to_response,hardware_pcap,100,195.81,133.51,,
4,parent_response_to_child_id_request,otns_pcap,100,526.57056,145.66743,-29.18944,-5.252166
4,parent_response_to_child_id_request,hardware_pcap,100,555.76,133.51,,
4,child_id_request_to_response,otns_pcap,100,5.5792,1.241019,-8.3508,-59.948313
4,child_id_request_to_response,hardware_pcap,100,13.93,1.08,,
4,parent_request_to_child_id_response,otns_pcap,100,755.71521,1.613827,-9.78479,-1.278222
4,parent_request_to_child_id_response,hardware_pcap,100,765.5,1.76,,
