routers,interval,source,n,mean_ms,sample_sd_ms
2,parent_request_to_response,otns_openthread_event,100,257.79432,147.59497
2,parent_request_to_response,otns_pcap,100,247.26752,147.355046
2,parent_request_to_response,hardware_pcap,100,269.49,139.72
2,parent_response_to_child_id_request,otns_openthread_event,100,0.0,0.0
2,parent_response_to_child_id_request,otns_pcap,100,5.9248,1.274408
2,parent_response_to_child_id_request,hardware_pcap,100,10.48,0.87
2,child_id_request_to_response,otns_openthread_event,100,10.736,1.731038
2,child_id_request_to_response,otns_pcap,100,5.6752,1.316407
2,child_id_request_to_response,hardware_pcap,100,13.84,0.93
2,parent_request_to_child_id_response,otns_openthread_event,100,268.53032,147.88034
2,parent_request_to_child_id_response,otns_pcap,100,258.86752,147.643575
2,parent_request_to_child_id_response,hardware_pcap,100,293.8,139.96
3,parent_request_to_response,otns_openthread_event,100,511.71009,2398.471052
3,parent_request_to_response,otns_pcap,100,501.40057,2398.613546
3,parent_request_to_response,hardware_pcap,100,251.45,145.86
3,parent_response_to_child_id_request,otns_openthread_event,100,0.0,0.0
3,parent_response_to_child_id_request,otns_pcap,100,5.9088,1.500878
3,parent_response_to_child_id_request,hardware_pcap,100,10.51,0.89
3,child_id_request_to_response,otns_openthread_event,100,10.7456,2.07097
3,child_id_request_to_response,otns_pcap,100,5.7008,1.405482
3,child_id_request_to_response,hardware_pcap,100,13.97,0.83
3,parent_request_to_child_id_response,otns_openthread_event,100,522.45569,2398.590534
3,parent_request_to_child_id_response,otns_pcap,100,513.01017,2398.732965
3,parent_request_to_child_id_response,hardware_pcap,100,275.93,145.95
4,parent_request_to_response,otns_openthread_event,100,270.76088,146.476566
4,parent_request_to_response,otns_pcap,100,260.12408,146.876452
4,parent_request_to_response,hardware_pcap,100,248.3,138.41
4,parent_response_to_child_id_request,otns_openthread_event,100,0.0,0.0
4,parent_response_to_child_id_request,otns_pcap,100,6.3928,2.85762
4,parent_response_to_child_id_request,hardware_pcap,100,10.49,0.92
4,child_id_request_to_response,otns_openthread_event,100,11.31232,4.196202
4,child_id_request_to_response,otns_pcap,100,5.85536,1.832562
4,child_id_request_to_response,hardware_pcap,100,13.91,0.96
4,parent_request_to_child_id_response,otns_openthread_event,100,282.0732,146.21759
4,parent_request_to_child_id_response,otns_pcap,100,272.37224,146.56548
4,parent_request_to_child_id_response,hardware_pcap,100,272.71,138.37
